Date,Open,High,Low,Close,Adj Close
15/01/2021,1.2153,1.216249,1.208474,1.215126,1.215126
18/01/2021,1.206724,1.20862,1.205545,1.206811,1.206811
19/01/2021,1.207846,1.214491,1.207846,1.207729,1.207729
20/01/2021,1.213946,1.216001,1.207773,1.213887,1.213887
21/01/2021,1.211534,1.217196,1.210991,1.211563,1.211563
22/01/2021,1.216619,1.2188,1.2152,1.216629,1.216629
25/01/2021,1.216856,1.2186,1.211725,1.216945,1.216945
26/01/2021,1.214329,1.2175,1.210844,1.214624,1.214624
27/01/2021,1.216323,1.217137,1.2062,1.216299,1.216299
28/01/2021,1.210478,1.2144,1.20824,1.210507,1.210507
29/01/2021,1.212136,1.215701,1.209599,1.212004,1.212004
01/02/2021,1.212283,1.213607,1.206913,1.212386,1.212386
02/02/2021,1.206768,1.208795,1.201836,1.206869,1.206869
03/02/2021,1.203905,1.204999,1.200495,1.203905,1.203905
04/02/2021,1.204181,1.204384,1.196716,1.204239,1.204239
05/02/2021,1.196745,1.203978,1.195357,1.196673,1.196673
08/02/2021,1.204935,1.206855,1.20214,1.204877,1.204877
09/02/2021,1.205255,1.211475,1.20502,1.20536,1.20536
10/02/2021,1.211695,1.214373,1.21102,1.211999,1.211999
11/02/2021,1.211945,1.215099,1.211431,1.212121,1.212121
12/02/2021,1.213003,1.213592,1.208399,1.213151,1.213151
15/02/2021,1.212106,1.214699,1.211739,1.212209,1.212209
16/02/2021,1.213239,1.2171,1.209585,1.21322,1.21322
17/02/2021,1.208854,1.209834,1.202559,1.209248,1.209248
18/02/2021,1.204587,1.2089,1.20363,1.2048,1.2048
19/02/2021,1.209175,1.214772,1.2083,1.20919,1.20919
22/02/2021,1.212445,1.21551,1.209219,1.212636,1.212636
23/02/2021,1.216693,1.217878,1.213681,1.21668,1.21668
24/02/2021,1.2152,1.217404,1.21113,1.215214,1.215214
25/02/2021,1.216951,1.224155,1.215658,1.217137,1.217137
26/02/2021,1.216012,1.218249,1.209175,1.216042,1.216042
01/03/2021,1.20909,1.210156,1.202993,1.208956,1.208956
02/03/2021,1.204906,1.208036,1.1994,1.20511,1.20511
03/03/2021,1.208503,1.21105,1.204471,1.208547,1.208547
04/03/2021,1.204834,1.206401,1.202501,1.205066,1.205066
05/03/2021,1.196859,1.196859,1.189796,1.196774,1.196774
08/03/2021,1.192464,1.193218,1.184834,1.192563,1.192563
09/03/2021,1.185199,1.1916,1.183614,1.185171,1.185171
10/03/2021,1.189669,1.192506,1.187,1.189791,1.189791
11/03/2021,1.192748,1.197777,1.19171,1.192606,1.192606
12/03/2021,1.198164,1.199041,1.191058,1.19861,1.19861
15/03/2021,1.195114,1.196544,1.191185,1.195,1.195
16/03/2021,1.192734,1.1953,1.188439,1.192577,1.192577
17/03/2021,1.19021,1.1918,1.188764,1.190165,1.190165
18/03/2021,1.198064,1.1991,1.191015,1.198279,1.198279
19/03/2021,1.191767,1.193745,1.187493,1.191824,1.191824
22/03/2021,1.188453,1.193745,1.187606,1.188312,1.188312
23/03/2021,1.193332,1.194315,1.186437,1.193303,1.193303
24/03/2021,1.184119,1.185115,1.181335,1.184021,1.184021
25/03/2021,1.181377,1.183012,1.177523,1.181307,1.181307
26/03/2021,1.177607,1.180401,1.17726,1.177662,1.177662
29/03/2021,1.17876,1.179357,1.17618,1.1788,1.1788
30/03/2021,1.176914,1.177579,1.171317,1.177101,1.177101
31/03/2021,1.172333,1.175862,1.170453,1.17236,1.17236
01/04/2021,1.172897,1.177579,1.171481,1.172883,1.172883
02/04/2021,1.177773,1.1787,1.175143,1.177995,1.177995
05/04/2021,1.176637,1.181614,1.173943,1.176817,1.176817
06/04/2021,1.181907,1.185536,1.179649,1.181893,1.181893
07/04/2021,1.18755,1.191469,1.186535,1.187423,1.187423
08/04/2021,1.187197,1.191483,1.186183,1.187366,1.187366
09/04/2021,1.191568,1.192321,1.186859,1.191568,1.191568
12/04/2021,1.189641,1.192037,1.187338,1.190051,1.190051
13/04/2021,1.191214,1.195314,1.18843,1.191469,1.191469
14/04/2021,1.195743,1.198193,1.195186,1.195414,1.195414
15/04/2021,1.198236,1.199314,1.195786,1.19861,1.19861
16/04/2021,1.197074,1.199472,1.19509,1.197175,1.197175
19/04/2021,1.196831,1.204819,1.194344,1.196945,1.196945
20/04/2021,1.204384,1.208167,1.202877,1.204529,1.204529
21/04/2021,1.203254,1.204529,1.2,1.203239,1.203239
22/04/2021,1.203818,1.207001,1.200394,1.203775,1.203775
23/04/2021,1.201793,1.207799,1.201389,1.201475,1.201475
26/04/2021,1.208956,1.211827,1.206374,1.208985,1.208985
27/04/2021,1.207921,1.20919,1.205793,1.208167,1.208167
28/04/2021,1.208854,1.210214,1.205764,1.209031,1.209031
29/04/2021,1.213578,1.215214,1.210419,1.213592,1.213592
30/04/2021,1.212489,1.212856,1.202472,1.212709,1.212709
03/05/2021,1.202646,1.207799,1.20149,1.202776,1.202776
04/05/2021,1.205982,1.2063,1.200005,1.206127,1.206127
05/05/2021,1.201634,1.202935,1.198725,1.201504,1.201504
06/05/2021,1.200913,1.207001,1.1994,1.200797,1.200797
07/05/2021,1.206593,1.216545,1.205342,1.206855,1.206855
10/05/2021,1.216752,1.21773,1.21374,1.217108,1.217108
11/05/2021,1.214211,1.217968,1.212547,1.214093,1.214093
12/05/2021,1.21455,1.215067,1.206811,1.21445,1.21445
13/05/2021,1.207686,1.210654,1.205313,1.207851,1.207851
14/05/2021,1.208021,1.214772,1.207146,1.207729,1.207729
17/05/2021,1.214757,1.217,1.212753,1.215037,1.215037
18/05/2021,1.215525,1.223242,1.215407,1.215687,1.215687
19/05/2021,1.222643,1.2248,1.219185,1.2224,1.2224
20/05/2021,1.217285,1.222901,1.217093,1.217285,1.217285
21/05/2021,1.222793,1.2242,1.217374,1.222539,1.222539
24/05/2021,1.218116,1.222942,1.217582,1.218324,1.218324
25/05/2021,1.221449,1.2267,1.22124,1.221464,1.221464
26/05/2021,1.22489,1.2265,1.220003,1.224909,1.224909
27/05/2021,1.219036,1.221699,1.217567,1.21926,1.21926
28/05/2021,1.219274,1.220107,1.213342,1.219319,1.219319
31/05/2021,1.219007,1.223391,1.218413,1.219007,1.219007
01/06/2021,1.223406,1.225415,1.221464,1.223287,1.223287
02/06/2021,1.221807,1.222942,1.216575,1.221777,1.221777
03/06/2021,1.22115,1.221598,1.21209,1.220986,1.220986
04/06/2021,1.21303,1.218769,1.210551,1.213301,1.213301
07/06/2021,1.216575,1.2202,1.214506,1.216841,1.216841
08/06/2021,1.218962,1.219661,1.216663,1.219363,1.219363
09/06/2021,1.217182,1.221899,1.217182,1.217285,1.217285
10/06/2021,1.21773,1.219215,1.214535,1.2182,1.2182
11/06/2021,1.217315,1.2195,1.2095,1.217256,1.217256
14/06/2021,1.211079,1.213151,1.209526,1.21102,1.21102
15/06/2021,1.212415,1.214919,1.210287,1.212224,1.212224
16/06/2021,1.212547,1.213499,1.211035,1.212709,1.212709
17/06/2021,1.199185,1.200769,1.190703,1.199559,1.199559
18/06/2021,1.191327,1.192748,1.185115,1.191341,1.191341
21/06/2021,1.186901,1.192051,1.184876,1.187366,1.187366
22/06/2021,1.191157,1.191753,1.188241,1.191256,1.191256
23/06/2021,1.193745,1.197,1.191583,1.193673,1.193673
