"Date","High"
"1",1
"2",1
"3",2
"4",3
"5",5
"6",8
"7",13
"8",21
"9",34
"10",55
"11",89
"12",144
"13",233
"14",377
"15",610
"16",987
"17",1597
"18",2584
"19",4181
"20",6765
"21",10946
"22",17711
"23",28657
"24",46368
"25",75025
"26",121383
"27",196408
"28",317701
"29",514109
"30",831810
"31",1345919
"32",2177729
"33",3523638
"34",196400
"35",180500
'36",500000
"37",70000
"38",1780800
"39",1200000
"40",2000000
"41",600000
"42",1500000
"43",800000
"44",300000
"45",500000
"46",300000
"47",1000000
"48",400000
"49",500000
"50",900000

